Clock frequency is approx. 3293.9 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	11326.7	10404.4	8359.8	7285.5	6022.7	5288.4	5079.2	4299.3	3803.1	3728.7	3458.3	2811.2	2910.4	3080.6	3007.4	2992.5	3515.7	3251.8	3651.7	3788.6	3817.8	3630.8	4894.6	5855.2	6315.5	6473.6	7076.3	7206.2	7290.2	8041.1	7732.1	1703.0	8076.8	8533.2	7309.3	9010.7	8117.0	9024.1	9477.8	9478.3	9918.6	10084.0	9884.5	9816.8	7035.5	9773.2	9764.4	5601.8	10075.5	9894.4	9779.9	9898.4	9867.8	10075.3	9588.4	9911.9	9964.2	10011.4	9913.9	9984.1	9986.5	10070.9	9825.0	2234.7	
16m	11126.6	10524.3	9106.9	8356.1	7533.2	6505.3	6436.0	6057.8	5405.9	5428.1	5155.8	4964.9	4836.8	4532.1	4588.5	4436.1	8301.7	8536.1	8470.0	8537.9	9018.8	3804.8	10167.6	10042.6	10015.7	9933.5	10008.6	9726.5	9744.5	9813.8	9839.8	3718.1	9042.5	9550.9	9746.7	9605.1	9456.8	9551.2	9684.1	9664.3	9743.5	9710.7	9637.4	9579.6	9701.3	9718.4	9761.8	10094.9	9438.3	9542.0	9492.9	9023.4	9577.7	9832.5	8950.0	9902.0	9721.9	9417.1	9804.3	10025.3	10041.3	10173.3	9740.4	3142.3	
8m	11813.1	11914.3	11865.7	12005.6	12014.9	11977.7	12036.3	12023.5	11909.2	11809.8	11007.9	10513.2	9828.9	9275.5	8709.8	9468.5	9209.8	9331.5	9192.6	9133.0	9448.4	9711.6	11035.2	11305.3	11521.4	11339.6	11567.2	11335.9	11389.7	11191.1	11033.6	11356.8	10913.2	11183.9	11289.9	11133.9	11320.7	11369.7	10970.7	10846.0	11239.6	11333.7	11427.4	11367.9	11380.4	11263.9	11024.3	11276.0	10815.2	11261.8	11199.1	10953.9	11228.4	11131.2	11293.7	10866.3	11061.5	11020.2	10726.9	11119.7	10990.0	10891.2	10984.0	7064.3	
4m	12007.3	12033.9	12029.4	12022.1	12016.6	11945.9	11940.2	11928.9	11918.4	11886.9	11391.7	10643.1	9906.0	9324.6	8835.2	9072.9	9331.9	9447.1	9273.8	9291.1	9255.3	10031.6	11448.1	11964.3	11978.8	11945.2	11936.7	6433.7	6456.4	6445.8	10412.5	10118.4	10493.5	10321.4	10557.5	10476.9	11960.9	11872.1	11580.1	11773.2	11551.1	11852.6	11801.4	12029.0	12051.1	11789.1	11876.7	11770.6	12000.0	12013.1	12036.6	12034.4	11932.2	12057.4	12006.2	12019.3	12021.0	12030.3	12047.2	12051.2	12040.8	12015.2	12016.9	7094.9	
2m	12098.5	12095.7	12090.8	12088.8	12079.0	12084.6	12082.5	12063.7	12069.9	11954.8	11240.3	10943.5	10108.1	9621.6	8986.0	9648.3	9413.9	9603.1	9473.1	9437.7	9658.9	10308.7	11713.3	12097.1	12117.4	12106.8	12095.0	12116.7	12131.4	12113.9	12101.3	12024.9	12128.7	12095.6	12106.8	12113.9	12114.5	12106.9	12088.7	12113.8	12127.3	12126.5	12139.7	12105.4	12082.4	12134.9	12102.7	12080.2	12136.4	12099.9	12143.3	12124.9	12115.1	12113.9	12120.9	12136.4	12120.2	12110.9	12108.7	12156.0	12125.7	12144.9	12126.5	7157.0	
1024k	12098.5	12094.3	12097.1	12097.1	12079.0	12005.5	12038.7	11991.8	12051.1	11989.0	11463.8	11196.4	10375.1	9658.9	9109.2	10285.4	10142.7	10291.4	10335.1	10614.9	11075.6	11660.3	12038.6	12080.2	12099.9	12088.5	12038.7	12058.1	12070.4	12071.8	12101.3	11980.8	12059.5	12071.8	12058.0	12113.9	12036.9	12080.3	12034.3	12057.9	12098.5	12097.1	12049.5	12074.7	12050.8	12102.7	12102.7	12113.8	12067.6	12099.6	12071.8	12052.0	12115.1	12113.9	12120.9	12136.0	12080.3	12110.5	12150.2	12113.8	12082.6	12144.5	12126.5	7172.7	
512k	12033.2	12024.9	12038.7	12047.0	12044.2	12047.0	12058.1	12069.2	12038.7	12057.9	12044.1	12013.6	11945.0	11942.5	11947.8	12069.2	12071.8	12063.6	12080.3	12057.9	12097.1	12074.7	12102.7	12113.8	12099.6	12124.6	12113.9	12136.0	12110.5	12113.8	12144.5	12024.9	12105.1	12119.4	12155.6	12113.5	12087.9	12187.2	12088.5	12113.8	12041.0	12097.1	12169.5	12135.8	12113.1	12102.1	12235.7	12113.2	12135.6	12169.4	12215.6	12124.6	12189.8	12267.2	12198.0	12136.0	12241.4	12192.4	12150.2	12113.8	12254.5	12232.5	12038.7	7501.8	
256k	12035.9	12058.1	12063.6	12069.2	12085.8	12080.2	12058.1	12069.2	12063.6	12057.9	12074.7	12113.8	12124.6	12136.0	12030.2	12113.9	12119.4	12113.5	12187.2	12113.8	12097.1	12135.8	12232.3	12113.2	12169.4	12124.6	12113.9	12136.0	12192.4	12284.4	12232.5	12204.3	12197.5	12215.6	12254.4	12317.9	12191.3	12079.5	12197.5	12341.4	12271.6	12214.7	12169.5	12387.6	12370.8	12364.1	12370.5	12388.5	12416.6	12458.0	12215.6	12272.5	12342.2	12112.6	12519.0	12295.7	12406.8	12191.0	12318.9	12113.8	12254.5	12057.7	12585.9	8343.8	
128k	12069.2	12069.2	12080.2	12113.9	12113.8	12113.8	12057.7	12113.9	12215.3	12227.0	12135.8	12249.3	12272.5	12295.7	12113.8	12204.3	12215.6	12317.9	12295.2	12341.4	12214.7	12387.6	12101.1	12388.5	12458.0	12272.5	12423.2	12295.7	12191.0	12459.9	12412.4	12389.3	12786.1	12412.6	12457.0	12528.6	12626.7	12750.5	12899.3	12576.8	12760.5	12976.1	12676.6	12924.0	12637.5	12926.1	12649.4	12976.1	12709.9	13080.9	12826.3	13238.7	12991.8	12750.2	13214.5	12976.1	13498.6	12526.9	13040.6	12823.4	13400.3	13188.2	12976.1	9291.9	
64k	12069.2	12113.9	12113.8	12204.3	12227.0	12113.2	12136.0	12204.3	12317.9	12341.4	12387.6	12388.5	12272.5	12295.7	12459.9	12389.3	12826.3	12528.6	12750.5	12576.8	12457.0	12385.5	12364.1	12386.2	13080.9	12576.8	12750.2	12976.1	12526.9	12823.4	12412.4	12776.4	13209.0	12823.0	13346.8	12976.1	12626.7	13237.1	13974.2	13624.9	13292.1	14155.7	13829.0	13511.4	13212.0	12921.6	13914.3	13624.9	13345.4	13075.9	12826.3	13974.2	13708.0	15134.6	14860.1	14598.1	14336.0	14086.5	13849.4	15571.3	13400.3	15072.2	14829.8	9291.9	
32k	12069.2	12204.3	12249.3	12204.3	12341.4	12388.5	12295.7	12776.4	12111.0	12576.8	12924.0	12976.1	12576.8	12976.1	12823.4	12776.4	12823.0	12976.1	13237.1	13624.9	12976.1	13511.4	14213.8	13624.9	14528.7	13974.2	15134.6	14598.1	14086.5	13624.9	15072.2	14601.6	14145.3	13731.8	15571.3	15138.7	14722.8	14340.2	16769.1	13624.9	15950.6	19464.1	19014.9	14852.6	14533.2	14213.8	17392.9	17018.6	16669.2	16344.8	16020.4	15721.0	15421.5	15122.1	19796.8	14598.1	19098.1	18765.4	27698.9	27249.7	26800.5	17567.6	17301.4	25552.8	
